AÑO	EXPEDIENTE	RUC	NOMBRE	RAMA_ACTIVIDAD	DESCRIPCION_RAMA	CIIU	CUENTA_11	CUENTA_12	CUENTA_13	CUENTA_14	CUENTA_15	CUENTA_311	CUENTA_312	CUENTA_313	CUENTA_314	CUENTA_315	CUENTA_316	CUENTA_317	CUENTA_318	CUENTA_319	CUENTA_320	CUENTA_321	CUENTA_323	CUENTA_324	CUENTA_325	CUENTA_326	CUENTA_327	CUENTA_328	CUENTA_329	CUENTA_330	CUENTA_331	CUENTA_332	CUENTA_339	CUENTA_341	CUENTA_342	CUENTA_343	CUENTA_344	CUENTA_345	CUENTA_346	CUENTA_347	CUENTA_348	CUENTA_349	CUENTA_350	CUENTA_369	CUENTA_371	CUENTA_373	CUENTA_375	CUENTA_377	CUENTA_378	CUENTA_379	CUENTA_381	CUENTA_382	CUENTA_383	CUENTA_384	CUENTA_385	CUENTA_386	CUENTA_387	CUENTA_388	CUENTA_389	CUENTA_390	CUENTA_391	CUENTA_392	CUENTA_397	CUENTA_399	CUENTA_411	CUENTA_412	CUENTA_413	CUENTA_414	CUENTA_415	CUENTA_416	CUENTA_417	CUENTA_418	CUENTA_419	CUENTA_420	CUENTA_421	CUENTA_422	CUENTA_423	CUENTA_424	CUENTA_425	CUENTA_426	CUENTA_427	CUENTA_428	CUENTA_439	CUENTA_441	CUENTA_442	CUENTA_443	CUENTA_444	CUENTA_445	CUENTA_446	CUENTA_447	CUENTA_448	CUENTA_449	CUENTA_450	CUENTA_451	CUENTA_452	CUENTA_453	CUENTA_454	CUENTA_455	CUENTA_456	CUENTA_457	CUENTA_458	CUENTA_469	CUENTA_479	CUENTA_489	CUENTA_499	CUENTA_501	CUENTA_503	CUENTA_505	CUENTA_507	CUENTA_509	CUENTA_513	CUENTA_515	CUENTA_517	CUENTA_519	CUENTA_598	CUENTA_599	CUENTA_601	CUENTA_602	CUENTA_603	CUENTA_604	CUENTA_605	CUENTA_606	CUENTA_607	CUENTA_608	CUENTA_609	CUENTA_610	CUENTA_611	CUENTA_612	CUENTA_691	CUENTA_692	CUENTA_699	CUENTA_701	CUENTA_702	CUENTA_703	CUENTA_704	CUENTA_705	CUENTA_706	CUENTA_707	CUENTA_708	CUENTA_709	CUENTA_710	CUENTA_711	CUENTA_712	CUENTA_713	CUENTA_715	CUENTA_716	CUENTA_717	CUENTA_718	CUENTA_719	CUENTA_720	CUENTA_721	CUENTA_722	CUENTA_723	CUENTA_724	CUENTA_725	CUENTA_726	CUENTA_727	CUENTA_728	CUENTA_729	CUENTA_730	CUENTA_731	CUENTA_732	CUENTA_733	CUENTA_734	CUENTA_735	CUENTA_736	CUENTA_737	CUENTA_738	CUENTA_739	CUENTA_740	CUENTA_742	CUENTA_743	CUENTA_744	CUENTA_745	CUENTA_746	CUENTA_747	CUENTA_748	CUENTA_749	CUENTA_750	CUENTA_751	CUENTA_752	CUENTA_753	CUENTA_754	CUENTA_755	CUENTA_756	CUENTA_757	CUENTA_758	CUENTA_759	CUENTA_760	CUENTA_761	CUENTA_762	CUENTA_763	CUENTA_764	CUENTA_765	CUENTA_766	CUENTA_767	CUENTA_768	CUENTA_769	CUENTA_770	CUENTA_771	CUENTA_772	CUENTA_773	CUENTA_774	CUENTA_775	CUENTA_776	CUENTA_777	CUENTA_778	CUENTA_779	CUENTA_780	CUENTA_781	CUENTA_782	CUENTA_783	CUENTA_784	CUENTA_785	CUENTA_786	CUENTA_787	CUENTA_788	CUENTA_789	CUENTA_790	CUENTA_791	CUENTA_792	CUENTA_794	CUENTA_795	CUENTA_796	CUENTA_797	CUENTA_798	CUENTA_799	CUENTA_801	CUENTA_802	CUENTA_811	CUENTA_812	CUENTA_813	CUENTA_814	CUENTA_815	CUENTA_816	CUENTA_817	CUENTA_818	CUENTA_819	CUENTA_820	CUENTA_821	CUENTA_822	CUENTA_829	CUENTA_839	CUENTA_841	CUENTA_842	CUENTA_849	CUENTA_851	CUENTA_852	CUENTA_853	CUENTA_854	CUENTA_855	CUENTA_856	CUENTA_859	CUENTA_869	CUENTA_900	
2002	555	1790021858001	TROQUELADOS SA TROSA	C	INDUSTRIAS MANUFACTURERAS.	C2410.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104,46	0	0	0	0	0	0	104,46	5982,40	0	0	0	0	0	0	-323,79	0	0	5658,61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5763,07	0	0	0	0	0	0	0	0	790,75	0	0	0	0	0	0	0	0	0	790,75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	790,75	1280,00	0	0	552,60	980,98	2730,46	0	0	-571,72	4972,32	5763,07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	4225	0990055610001	LOTIZACION AGRICOLA LOS RANCHOS SA	L	ACTIVIDADES INMOBILIARIAS.	L6810.01	0	0	0	0	0	181,99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	181,99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74,08	-46,75	27,33	0	0	0	0	0	0	0	0	0	0	0	0	0	209,32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200,00	0	0	62,86	0	0	-46,13	0	-7,41	209,32	209,32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	4929	0990207194001	COMPANIA ANONIMA CIVIL INMOBILIARIA SOSGHI SA	L	ACTIVIDADES INMOBILIARIAS.	L6810.01	0	0	0	0	0	712,56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	712,56	6015,64	0	0	0	0	0	0	-1461,28	2487,20	0	7041,56	0	601,56	0	0	0	601,56	0	0	0	0	0	0	0	0	0	0	0	0	0	8355,68	0	0	0	0	0	0	0	0	0	0	0	0	270,42	0	0	0	190,89	0	461,31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	461,31	200,00	0	0	2,70	6795,17	896,50	0	0	0	7894,37	8355,68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	5890	0990292639001	CONDOMINIOS Y BIENES RAICES (CONASA) SOCIEDAD ANONIMA INMOBILIARIA	L	ACTIVIDADES INMOBILIARIAS.	L6810.01	0	0	0	0	0	12,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12,00	0	0	0	0	0	0	0	0	2126,88	0	2126,88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73,46	73,46	2212,34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126,88	0	0	0	0	0	0	0	0	0	0	0	126,88	0	0	126,88	2080,00	0	0	5,46	0	0	0	0	0	2085,46	2212,34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	,01	
2002	6980	1190090627001	AGENCIA DE VIAJES LOS ARUPOS ARUPTOURS CIA. LTDA.	N	ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.	N7911.00	0	0	0	0	0	351,28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351,28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	351,28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	402,00	0	0	0	0	0	-40,72	0	-10,00	351,28	351,28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10,00	0	0	0	0	10,00	10,00	0	-10,00	0	0	0	0	0	0	0	0	0	0	0	0	0	-10,00	0	0	0	0	0	0	0	0	0	0	0	,01	
2002	7738	1790472469001	INMOSIDECA SA	L	ACTIVIDADES INMOBILIARIAS.	L6810.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	621,94	0	0	0	0	0	0	-104,07	0	0	517,87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	517,87	0	0	0	0	0	0	912,48	0	0	0	0	0	0	0	0	0	0	0	912,48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912,48	55,99	0	0	0	0	0	-162,92	0	-287,68	-394,61	517,87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285,86	0	0	0	0	0	0	0	1,82	0	0	0	0	0	0	0	0	0	0	0	0	287,68	287,68	0	-287,68	0	0	0	0	0	0	0	0	0	0	0	0	0	-287,68	0	0	0	0	0	0	0	0	0	0	0	0	
2002	9382	0990348774001	INMOBILIARIA TINO SA	L	ACTIVIDADES INMOBILIARIAS.	L6820.03	0	0	0	0	0	955,06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955,06	26253,05	0	338,77	0	0	0	0	-1227,44	2295,66	0	27660,04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28615,10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25200,00	0	600,00	0	2695,10	0	0	120,00	0	28615,10	28615,10	0	3600,00	0	0	0	0	0	0	0	0	0	0	0	0	3600,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400,00	0	760,00	0	300,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20,00	0	0	0	0	0	0	3480,00	3480,00	120,00	0	-18,00	0	0	0	0	0	0	0	0	0	0	0	102,00	0	0	102,00	25,50	0	0	0	0	0	0	25,50	0	0	
2002	9678	0990375275001	PREDIAL PREDIZALDE SA	L	ACTIVIDADES INMOBILIARIAS.	L6810.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6945,29	0	0	0	0	0	0	-2382,37	2871,57	0	7434,49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7434,49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2565,45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2565,45	0	0	2565,45	200,00	0	2871,57	11,94	5444,86	96,98	-2354,95	0	-1401,36	4869,04	7434,49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1054,10	0	0	0	0	0	0	0	347,26	0	0	0	0	0	0	0	0	0	0	0	0	1401,36	1401,36	0	-1401,36	0	0	0	0	0	0	0	0	0	0	0	0	0	-1401,36	0	0	0	0	0	0	0	0	0	0	0	,01	
2002	9768	0990375437001	INMOBILIARIA INTRADECA SA	L	ACTIVIDADES INMOBILIARIAS.	L6810.01	0	0	0	0	0	560,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560,00	0	0	0	0	0	0	0	0	560,00	560,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	,01	
2002	9928	0990393818001	INMOBILIARIA INVERSIONISTA IONIO SA	L	ACTIVIDADES INMOBILIARIAS.	L6810.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3206,94	0	0	0	0	0	0	0	0	0	3206,94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3206,94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800,00	0	0	0	2406,94	0	0	0	0	3206,94	3206,94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	,01	
