AÑO	EXPEDIENTE	RUC	NOMBRE	RAMA_ACTIVIDAD	DESCRIPCION_RAMA	CIIU	CUENTA_11	CUENTA_12	CUENTA_13	CUENTA_14	CUENTA_15	CUENTA_311	CUENTA_312	CUENTA_313	CUENTA_314	CUENTA_315	CUENTA_316	CUENTA_317	CUENTA_318	CUENTA_319	CUENTA_320	CUENTA_321	CUENTA_323	CUENTA_324	CUENTA_325	CUENTA_326	CUENTA_327	CUENTA_328	CUENTA_329	CUENTA_330	CUENTA_331	CUENTA_332	CUENTA_339	CUENTA_341	CUENTA_342	CUENTA_343	CUENTA_344	CUENTA_345	CUENTA_346	CUENTA_347	CUENTA_348	CUENTA_349	CUENTA_350	CUENTA_369	CUENTA_371	CUENTA_373	CUENTA_375	CUENTA_377	CUENTA_378	CUENTA_379	CUENTA_381	CUENTA_382	CUENTA_383	CUENTA_384	CUENTA_385	CUENTA_386	CUENTA_387	CUENTA_388	CUENTA_389	CUENTA_390	CUENTA_391	CUENTA_392	CUENTA_397	CUENTA_399	CUENTA_411	CUENTA_412	CUENTA_413	CUENTA_414	CUENTA_415	CUENTA_416	CUENTA_417	CUENTA_418	CUENTA_419	CUENTA_420	CUENTA_421	CUENTA_422	CUENTA_423	CUENTA_424	CUENTA_425	CUENTA_426	CUENTA_427	CUENTA_428	CUENTA_439	CUENTA_441	CUENTA_442	CUENTA_443	CUENTA_444	CUENTA_445	CUENTA_446	CUENTA_447	CUENTA_448	CUENTA_449	CUENTA_450	CUENTA_451	CUENTA_452	CUENTA_453	CUENTA_454	CUENTA_455	CUENTA_456	CUENTA_457	CUENTA_458	CUENTA_469	CUENTA_479	CUENTA_489	CUENTA_499	CUENTA_501	CUENTA_503	CUENTA_505	CUENTA_507	CUENTA_509	CUENTA_513	CUENTA_515	CUENTA_517	CUENTA_519	CUENTA_598	CUENTA_599	CUENTA_601	CUENTA_602	CUENTA_603	CUENTA_604	CUENTA_605	CUENTA_606	CUENTA_607	CUENTA_608	CUENTA_609	CUENTA_610	CUENTA_611	CUENTA_612	CUENTA_691	CUENTA_692	CUENTA_699	CUENTA_701	CUENTA_702	CUENTA_703	CUENTA_704	CUENTA_705	CUENTA_706	CUENTA_707	CUENTA_708	CUENTA_709	CUENTA_710	CUENTA_711	CUENTA_712	CUENTA_713	CUENTA_715	CUENTA_716	CUENTA_717	CUENTA_718	CUENTA_719	CUENTA_720	CUENTA_721	CUENTA_722	CUENTA_723	CUENTA_724	CUENTA_725	CUENTA_726	CUENTA_727	CUENTA_728	CUENTA_729	CUENTA_730	CUENTA_731	CUENTA_732	CUENTA_733	CUENTA_734	CUENTA_735	CUENTA_736	CUENTA_737	CUENTA_738	CUENTA_739	CUENTA_740	CUENTA_742	CUENTA_743	CUENTA_744	CUENTA_745	CUENTA_746	CUENTA_747	CUENTA_748	CUENTA_749	CUENTA_750	CUENTA_751	CUENTA_752	CUENTA_753	CUENTA_754	CUENTA_755	CUENTA_756	CUENTA_757	CUENTA_758	CUENTA_759	CUENTA_760	CUENTA_761	CUENTA_762	CUENTA_763	CUENTA_764	CUENTA_765	CUENTA_766	CUENTA_767	CUENTA_768	CUENTA_769	CUENTA_770	CUENTA_771	CUENTA_772	CUENTA_773	CUENTA_774	CUENTA_775	CUENTA_776	CUENTA_777	CUENTA_778	CUENTA_779	CUENTA_780	CUENTA_781	CUENTA_782	CUENTA_783	CUENTA_784	CUENTA_785	CUENTA_786	CUENTA_787	CUENTA_788	CUENTA_789	CUENTA_790	CUENTA_791	CUENTA_792	CUENTA_794	CUENTA_797	CUENTA_798	CUENTA_799	CUENTA_801	CUENTA_802	CUENTA_811	CUENTA_815	CUENTA_820	CUENTA_850	
2002	1457	1790075982001	KENNET CA	A	AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.	A0113.91	0	0	0	0	0	3741,08	1457,96	0	0	95417,46	0	19896,64	0	0	0	-954,17	0	0	97087,18	86914,86	1190,78	64120,20	0	0	16681,28	1053,49	386606,76	288277,16	0	0	211450,01	0	4919,20	57901,50	-402292,32	60213,96	0	220469,51	0	0	810,55	0	0	810,55	0	0	0	0	0	0	0	0	0	0	0	0	0	607886,82	0	0	68966,23	0	5000,00	0	0	0	11022,58	0	4714,92	0	0	0	0	0	0	0	89703,73	0	0	0	0	39450,67	0	0	0	0	0	0	0	0	0	0	135909,18	0	0	175359,85	0	0	265063,58	60640,00	0	0	5284,58	190492,72	47506,63	0	38899,31	0	342823,24	607886,82	158769,96	716691,51	0	0	0	2538,32	5089,29	0	0	0	0	0	0	0	883089,08	0	0	0	0	0	93031,16	278299,52	55815,59	-97087,18	69458,56	-86914,86	71356,93	-64120,20	105157,84	40212,66	76126,67	32038,57	0	0	0	2973,32	0	0	0	8484,00	7478,55	6394,15	12984,73	7374,85	0	3332,02	27812,00	5583,91	0	3469,04	0	29388,00	0	0	0	0	0	0	13150,53	0	0	0	0	0	0	0	11493,35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5942,77	2928,54	0	0	2311,48	14706,51	0	0	0	0	44834,35	0	0	4968,78	0	0	14448,56	6218,44	15967,57	12769,26	0	5799,80	0	630592,56	213597,21	844189,77	38899,31	0	-5834,90	33064,41	-8266,10	24798,31	
2002	1915	1090036986001	INGENIO SAN JOSE CA	A	AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.	A0114.00	0	0	0	0	0	0	0	0	0	0	129518,00	0	0	92061,25	0	0	0	3327,85	0	0	0	529957,88	0	0	0	3400,00	758264,98	71304,86	0	0	456729,69	0	25662,01	1843,95	-444286,12	46329,18	0	157583,57	0	0	0	920239,41	-904318,83	15920,58	0	0	0	0	0	0	0	0	0	0	0	5243,52	5243,52	937012,65	0	0	0	0	18139,63	0	0	0	0	0	68021,15	0	0	0	0	0	0	5700,00	91860,78	0	0	0	0	0	0	185430,20	0	0	0	134147,94	0	0	0	0	0	0	0	319578,14	0	0	411438,92	10000,00	0	0	203,35	514642,67	3265,45	0	0	-2537,74	525573,73	937012,65	0	413416,75	15052,00	0	0	4002,38	0	0	0	0	0	0	0	0	432471,13	0	0	0	0	0	0	0	0	0	0	0	524156,27	-535201,40	118674,02	15300,56	16599,25	5979,26	0	0	1927,79	0	0	0	0	0	25484,30	0	544,95	2699,51	0	0	197006,95	859,09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1643,86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1749,06	0	0	0	0	0	0	0	0	0	0	410,34	0	0	0	0	1199,73	41924,35	3416,91	0	10454,19	0	391526,82	43302,17	434828,99	0	-2357,86	0	-2357,86	0	-2357,86	
2002	4190	0990223521001	INMOBILIARIA URBANA Y AGRICOLA S.A.	L	ACTIVIDADES INMOBILIARIAS.	L6810.01	0	0	0	0	0	467,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	467,20	0	0	0	0	0	0	0	0	467,20	467,20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	4422	0990000611001	LA PORTUGUESA SA	C	INDUSTRIAS MANUFACTURERAS.	C1020.07	0	0	0	0	0	9209,73	0	0	0	426681,65	0	0	0	0	82469,34	0	0	0	796719,43	71561,88	2060,61	298568,01	198213,71	159440,97	0	68339,97	2113265,30	2124844,02	0	0	2420468,57	236867,08	277933,11	9513783,56	-12732142,09	3333772,24	0	5175526,49	0	0	0	95178,50	-1130,43	94048,07	0	22568,73	0	0	0	0	0	0	0	0	0	1311,29	23880,02	7406719,88	313078,89	0	150449,66	0	1087488,07	30501,04	0	0	152733,98	163553,74	0	0	0	0	0	0	78349,32	3250998,25	5227152,95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	819213,96	0	6046366,91	373069,64	0	0	2029,84	7215472,22	0	0	0	-6230218,73	1360352,97	7406719,88	774673,38	571518,20	1649153,78	0	0	452,15	0	0	0	0	0	0	0	0	2995797,51	748704,53	839605,17	317044,57	0	-796719,43	0	0	0	-796719,43	957718,66	-71561,88	23752,82	-71561,88	130826,99	96609,69	0	0	0	0	0	0	0	0	6469,12	8064,00	628732,64	0	26889,71	74997,05	0	0	14916,64	0	0	0	0	0	0	0	215367,98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17655,25	0	0	0	19456,72	55869,46	61574,30	0	0	0	116339,89	0	0	0	0	0	84715,30	85854,62	0	0	0	0	0	2238382,97	556219,52	2794602,49	201195,02	0	0	201195,02	0	201195,02	
2002	4749	0990266476001	GASA S.A	C	INDUSTRIAS MANUFACTURERAS.	C2640.02	0	0	0	0	0	38,14	0	0	38042,42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2300,80	40381,36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40381,36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40000,00	0	0	381,36	0	0	0	0	0	40381,36	40381,36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2002	4891	0990029334001	MINACA MOBILIARIA E INMOBILIARIA ALHAJUELA CA	L	ACTIVIDADES INMOBILIARIAS.	L6810.01	0	0	0	0	0	1717,85	2576,66	0	0	1288,99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,08	0	5588,58	7844,18	0	0	0	0	0	0	-2406,52	0	0	5437,66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11026,24	0	0	392,19	0	0	0	0	0	0	0	0	0	0	174,43	0	0	0	0	566,62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	566,62	896,00	0	314,99	43,81	252,65	8992,72	-126,44	85,89	0	10459,62	11026,24	627,09	0	0	0	1290,81	0	0	0	0	0	0	0	0	0	1917,90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1816,85	0	0	0	0	1816,85	1816,85	101,05	0	0	101,05	0	101,05	
2002	5297	0990193789001	DALIALBO INMOBILIARIA CIVIL SOCIEDAD ANONIMA	L	ACTIVIDADES INMOBILIARIAS.	L6810.01	0	0	0	0	0	74,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74,00	0	0	0	171,00	0	0	0	0	0	0	171,00	105,00	0	0	0	0	105,00	0	0	0	0	0	0	0	0	0	0	0	0	0	350,00	0	0	22,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22,00	200,00	0	0	0	2,00	0	0	126,00	0	328,00	350,00	0	355,80	0	0	0	0	0	0	0	0	0	0	0	0	355,80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73,80	0	13,00	0	0	0	0	171,80	171,80	184,00	0	-58,00	126,00	0	126,00	
2002	5476	0990141479001	CYANAMID DE COLOMBIA SA	C	INDUSTRIAS MANUFACTURERAS.	C2100.01	0	0	0	0	0	182277,54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182277,54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182277,54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10342,84	0	0	2602,00	0	175074,97	-5992,17	249,90	0	182277,54	182277,54	0	0	0	0	249,90	0	0	0	0	0	0	0	0	0	249,90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	249,90	0	0	249,90	0	249,90	
2002	5612	0990175195001	COMPANIA DE ECONOMIA MIXTA PRODUCTOS LACTEOS HUANCAVILCA PROLAHUAN	A	AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.	A0141.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43758,21	0	53,31	1267,59	0	0	0	-5570,29	0	0	39508,82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39508,82	0	0	0	0	0	0	0	0	0	0	506,43	0	0	0	0	0	0	33531,75	34038,18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519,43	519,43	0	0	34557,61	828,80	0	0	0	43663,58	0	-31293,46	0	-8247,71	4951,21	39508,82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2862,21	0	0	0	0	0	0	0	2187,91	0	0	0	0	0	3197,59	0	0	0	0	8247,71	8247,71	0	-8247,71	0	-8247,71	0	-8247,71	
2002	6735	1190090023001	JOSE'STOUR CIA. LTDA.	N	ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.	N7912.00	0	0	0	0	0	84,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84,00	0	0	0	0	0	0	0	0	84,00	84,00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
